10
1_RCP_Ref
GCAM RCP Reference Scenario (the no climate policy scenario associated with the RCP4.5)
  Year  Foss CO2  Defo CO2       CH4       N2O       NOx      VOCs        CO     SO2,1     SO2,2     SO2,3       CF4      C2F6    HFC125   HFC134a   HFC143a  HFC227ea  HFC245ca       SF6
  Year    (Pg C)    (Pg C)      (Tg)    (Tg N)    (Mt N)      (Mt)      (Mt)    (Tg S)    (Tg S)    (Tg S)    (kton)    (kton)    (kton)    (kton)    (kton)    (kton)    (kton)    (kton)
  1990     6.055     1.599   273.903     6.955      37.8   206.246  1040.263         0         0         0    18.929     1.028     0.001         0         0         0         0     6.327
  2000     7.259     1.265   292.239     7.497    38.449   215.385  1075.392    -7.063     5.988     2.197     17.31     1.888     5.167   158.773         0         0    12.076     6.228
  2005     7.861     1.097   301.407     7.767    38.774   219.954  1092.956   -10.595     8.983     3.295      16.5     2.317      7.75   238.159         0         0    18.114     6.179
  2020    10.368     0.706   359.462     9.092    37.985   226.176  1168.149    -17.55    11.922     3.942    13.011     1.464    17.705   428.249         0         0    67.225     5.274
  2035    13.277     0.667   404.647    10.149    38.248   252.481  1228.739   -20.784     4.751     4.569    14.793     1.781    22.512   561.325         0         0    73.986     6.827
  2050    15.747     0.682   434.962    10.692    33.993   237.614  1103.437   -23.347    -3.478     3.704    16.251     2.084    27.532   698.516         0         0    77.834     8.103
  2065    17.765     0.629   447.064    11.005    29.963    224.33   959.171   -23.982    -7.669     3.875    17.847     2.365    33.962   873.606         0         0    80.517     8.943
  2080    19.849     0.335   443.502    10.938    26.247    188.46   704.275   -24.379   -10.171     2.555    19.463     2.551    42.184  1098.506         0         0    83.552     9.716
  2095    21.392      0.29   446.853    10.823    24.817   173.182   593.608   -24.544   -10.737     0.602    20.983     2.693    50.563   1311.98         0         0     85.08     10.24
  2100    21.392      0.29   446.853    10.823    24.817   173.182   593.608   -24.544   -10.737     0.602    20.983     2.693    50.563   1311.98         0         0     85.08     10.24
