"scenario","year","variable","value","units"
"ssp119",1850,"Tgav",0.117123958780601,"degC"
"ssp119",1851,"Tgav",0.122108809188301,"degC"
"ssp119",1852,"Tgav",0.128556557123566,"degC"
"ssp119",1853,"Tgav",0.1358086889297,"degC"
"ssp119",1854,"Tgav",0.142671938667166,"degC"
"ssp119",1855,"Tgav",0.137840710304586,"degC"
"ssp119",1856,"Tgav",0.0943580466307425,"degC"
"ssp119",1857,"Tgav",0.0377052874884154,"degC"
"ssp119",1858,"Tgav",0.0223747224674989,"degC"
"ssp119",1859,"Tgav",0.0423501350618117,"degC"
"ssp119",1860,"Tgav",0.068957800793893,"degC"
"ssp119",1861,"Tgav",0.0875451734674451,"degC"
"ssp119",1862,"Tgav",0.0933547340696495,"degC"
"ssp119",1863,"Tgav",0.0983832415402425,"degC"
"ssp119",1864,"Tgav",0.110324374499647,"degC"
"ssp119",1865,"Tgav",0.124264122584243,"degC"
"ssp119",1866,"Tgav",0.137376038044888,"degC"
"ssp119",1867,"Tgav",0.148532752586586,"degC"
"ssp119",1868,"Tgav",0.157715035247378,"degC"
"ssp119",1869,"Tgav",0.16469145538417,"degC"
"ssp119",1870,"Tgav",0.170312186095254,"degC"
"ssp119",1871,"Tgav",0.175605951624449,"degC"
"ssp119",1872,"Tgav",0.17927955600247,"degC"
"ssp119",1873,"Tgav",0.18135014965417,"degC"
"ssp119",1874,"Tgav",0.184642353862392,"degC"
"ssp119",1875,"Tgav",0.187679300144085,"degC"
"ssp119",1876,"Tgav",0.186997326987696,"degC"
"ssp119",1877,"Tgav",0.186807603554085,"degC"
"ssp119",1878,"Tgav",0.190501882492411,"degC"
"ssp119",1879,"Tgav",0.195768744595144,"degC"
"ssp119",1880,"Tgav",0.201123793458195,"degC"
"ssp119",1881,"Tgav",0.206700593880313,"degC"
"ssp119",1882,"Tgav",0.201791412063252,"degC"
"ssp119",1883,"Tgav",0.118829588579417,"degC"
"ssp119",1884,"Tgav",-0.0128494978446133,"degC"
"ssp119",1885,"Tgav",-0.063001095689749,"degC"
"ssp119",1886,"Tgav",-0.0509799823918842,"degC"
"ssp119",1887,"Tgav",-0.0304487904885229,"degC"
"ssp119",1888,"Tgav",-0.00918807334715976,"degC"
"ssp119",1889,"Tgav",-0.00031341805016572,"degC"
"ssp119",1890,"Tgav",-0.000947368743436088,"degC"
"ssp119",1891,"Tgav",0.00365745809861711,"degC"
"ssp119",1892,"Tgav",0.0226615890166731,"degC"
"ssp119",1893,"Tgav",0.0508477948947397,"degC"
"ssp119",1894,"Tgav",0.0816740063069566,"degC"
"ssp119",1895,"Tgav",0.104501798871365,"degC"
"ssp119",1896,"Tgav",0.108885934645124,"degC"
"ssp119",1897,"Tgav",0.104705395472518,"degC"
"ssp119",1898,"Tgav",0.110911614955343,"degC"
"ssp119",1899,"Tgav",0.126157812969089,"degC"
"ssp119",1900,"Tgav",0.142915358600376,"degC"
"ssp119",1901,"Tgav",0.155401333505568,"degC"
"ssp119",1902,"Tgav",0.126396094423718,"degC"
"ssp119",1903,"Tgav",0.0671260951004932,"degC"
"ssp119",1904,"Tgav",0.0471860859358963,"degC"
"ssp119",1905,"Tgav",0.0667419863209959,"degC"
